Date : 2023-04-21 21:53:48
Directory : c:\xampp\htdocs\cscs
Total : 3485 files,  632248 codes, 103588 comments, 107325 blanks, all 843161 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cscs\admin\login.php                                                                                                                             | PHP          |         75 |          0 |          2 |         77 |
| c:\xampp\htdocs\cscs\admin\products\index.php                                                                                                                    | PHP          |        119 |          0 |          0 |        119 |
| c:\xampp\htdocs\cscs\admin\products\manage_product.php                                                                                                           | PHP          |         95 |          0 |          1 |         96 |
| c:\xampp\htdocs\cscs\admin\products\view_product.php                                                                                                             | PHP          |         40 |          0 |          1 |         41 |
| c:\xampp\htdocs\cscs\admin\reports\index.php                                                                                                                     | PHP          |        166 |          0 |          1 |        167 |
| c:\xampp\htdocs\cscs\admin\sales\index.php                                                                                                                       | PHP          |         72 |          0 |          2 |         74 |
| c:\xampp\htdocs\cscs\admin\sales\manage_sale.php                                                                                                                 | PHP          |        340 |          0 |          5 |        345 |
| c:\xampp\htdocs\cscs\admin\sales\view_details.php                                                                                                                | PHP          |        189 |          0 |          0 |        189 |
| c:\xampp\htdocs\cscs\admin\system_info\index.php                                                                                                                 | PHP          |        172 |          1 |          8 |        181 |
| c:\xampp\htdocs\cscs\admin\user\index.php                                                                                                                        | PHP          |         96 |          0 |          2 |         98 |
| c:\xampp\htdocs\cscs\admin\user\list.php                                                                                                                         | PHP          |        119 |          0 |          0 |        119 |
| c:\xampp\htdocs\cscs\admin\user\manage_user.php                                                                                                                  | PHP          |        108 |          0 |          3 |        111 |
| c:\xampp\htdocs\cscs\assets\css\styles.css                                                                                                                       | CSS          |      9,487 |         31 |      1,219 |     10,737 |
| c:\xampp\htdocs\cscs\assets\js\scripts.js                                                                                                                        | JavaScript   |          0 |          7 |          0 |          7 |
| c:\xampp\htdocs\cscs\build\config\.eslintrc.json                                                                                                                 | JSON         |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\cscs\build\config\postcss.config.js                                                                                                              | JavaScript   |         13 |          0 |          2 |         15 |
| c:\xampp\htdocs\cscs\build\config\rollup.config.js                                                                                                               | JavaScript   |         21 |          9 |          3 |         33 |
| c:\xampp\htdocs\cscs\build\js\AdminLTE.js                                                                                                                        | JavaScript   |         32 |          0 |          2 |         34 |
| c:\xampp\htdocs\cscs\build\js\CardRefresh.js                                                                                                                     | JavaScript   |        102 |         20 |         32 |        154 |
| c:\xampp\htdocs\cscs\build\js\CardWidget.js                                                                                                                      | JavaScript   |        170 |         20 |         49 |        239 |
| c:\xampp\htdocs\cscs\build\js\ControlSidebar.js                                                                                                                  | JavaScript   |        238 |         30 |         55 |        323 |
| c:\xampp\htdocs\cscs\build\js\DirectChat.js                                                                                                                      | JavaScript   |         41 |         24 |         20 |         85 |
| c:\xampp\htdocs\cscs\build\js\Dropdown.js                                                                                                                        | JavaScript   |         91 |         25 |         31 |        147 |
| c:\xampp\htdocs\cscs\build\js\ExpandableTable.js                                                                                                                 | JavaScript   |         72 |         24 |         20 |        116 |
| c:\xampp\htdocs\cscs\build\js\Fullscreen.js                                                                                                                      | JavaScript   |         70 |         24 |         24 |        118 |
| c:\xampp\htdocs\cscs\build\js\IFrame.js                                                                                                                          | JavaScript   |        275 |         25 |         57 |        357 |
| c:\xampp\htdocs\cscs\build\js\Layout.js                                                                                                                          | JavaScript   |        173 |         27 |         46 |        246 |
| c:\xampp\htdocs\cscs\build\js\NavbarSearch.js                                                                                                                    | JavaScript   |         62 |         24 |         26 |        112 |
| c:\xampp\htdocs\cscs\build\js\PushMenu.js                                                                                                                        | JavaScript   |        150 |         25 |         49 |        224 |
| c:\xampp\htdocs\cscs\build\js\SidebarSearch.js                                                                                                                   | JavaScript   |        216 |         25 |         58 |        299 |
| c:\xampp\htdocs\cscs\build\js\Toasts.js                                                                                                                          | JavaScript   |        143 |         21 |         46 |        210 |
| c:\xampp\htdocs\cscs\build\js\TodoList.js                                                                                                                        | JavaScript   |         66 |         25 |         28 |        119 |
| c:\xampp\htdocs\cscs\build\js\Treeview.js                                                                                                                        | JavaScript   |        115 |         25 |         36 |        176 |
| c:\xampp\htdocs\cscs\build\npm\.eslintrc.json                                                                                                                    | JSON         |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\cscs\build\npm\DocsPlugins.js                                                                                                                    | JavaScript   |         40 |          6 |          3 |         49 |
| c:\xampp\htdocs\cscs\build\npm\DocsPublish.js                                                                                                                    | JavaScript   |         43 |          2 |          9 |         54 |
| c:\xampp\htdocs\cscs\build\npm\Plugins.js                                                                                                                        | JavaScript   |        392 |         42 |          4 |        438 |
| c:\xampp\htdocs\cscs\build\npm\Publish.js                                                                                                                        | JavaScript   |         48 |          2 |         10 |         60 |
| c:\xampp\htdocs\cscs\build\npm\vnu-jar.js                                                                                                                        | JavaScript   |         22 |         27 |          7 |         56 |
| c:\xampp\htdocs\cscs\build\scss\_adminlte.raw.scss                                                                                                               | SCSS         |          9 |         17 |          4 |         30 |
| c:\xampp\htdocs\cscs\build\scss\_alerts.scss                                                                                                                     | SCSS         |         26 |          4 |          7 |         37 |
| c:\xampp\htdocs\cscs\build\scss\_bootstrap-variables.scss                                                                                                        | SCSS         |        587 |         95 |        230 |        912 |
| c:\xampp\htdocs\cscs\build\scss\_brand.scss                                                                                                                      | SCSS         |         85 |          3 |         19 |        107 |
| c:\xampp\htdocs\cscs\build\scss\_buttons.scss                                                                                                                    | SCSS         |        114 |         10 |         19 |        143 |
| c:\xampp\htdocs\cscs\build\scss\_callout.scss                                                                                                                    | SCSS         |         41 |          5 |         12 |         58 |
| c:\xampp\htdocs\cscs\build\scss\_cards.scss                                                                                                                      | SCSS         |        400 |         29 |         93 |        522 |
| c:\xampp\htdocs\cscs\build\scss\_carousel.scss                                                                                                                   | SCSS         |         23 |          3 |          3 |         29 |
| c:\xampp\htdocs\cscs\build\scss\_close.scss                                                                                                                      | SCSS         |         29 |          8 |          8 |         45 |
| c:\xampp\htdocs\cscs\build\scss\_colors.scss                                                                                                                     | SCSS         |         73 |         13 |         19 |        105 |
| c:\xampp\htdocs\cscs\build\scss\_control-sidebar.scss                                                                                                            | SCSS         |        136 |         10 |         28 |        174 |
| c:\xampp\htdocs\cscs\build\scss\_direct-chat.scss                                                                                                                | SCSS         |        198 |          7 |         42 |        247 |
| c:\xampp\htdocs\cscs\build\scss\_dropdown.scss                                                                                                                   | SCSS         |        248 |         26 |         48 |        322 |
| c:\xampp\htdocs\cscs\build\scss\_elevation.scss                                                                                                                  | SCSS         |          8 |          4 |          3 |         15 |
| c:\xampp\htdocs\cscs\build\scss\_forms.scss                                                                                                                      | SCSS         |        334 |         20 |         51 |        405 |
| c:\xampp\htdocs\cscs\build\scss\_info-box.scss                                                                                                                   | SCSS         |        128 |          3 |         23 |        154 |
| c:\xampp\htdocs\cscs\build\scss\_layout.scss                                                                                                                     | SCSS         |        543 |         15 |        115 |        673 |
| c:\xampp\htdocs\cscs\build\scss\_main-header.scss                                                                                                                | SCSS         |        147 |          6 |         29 |        182 |
| c:\xampp\htdocs\cscs\build\scss\_main-sidebar.scss                                                                                                               | SCSS         |        926 |         39 |        179 |      1,144 |
| c:\xampp\htdocs\cscs\build\scss\_miscellaneous.scss                                                                                                              | SCSS         |        410 |         22 |         80 |        512 |
| c:\xampp\htdocs\cscs\build\scss\_mixins.scss                                                                                                                     | SCSS         |          9 |          3 |          2 |         14 |
| c:\xampp\htdocs\cscs\build\scss\_modals.scss                                                                                                                     | SCSS         |         64 |          5 |          8 |         77 |
| c:\xampp\htdocs\cscs\build\scss\_navs.scss                                                                                                                       | SCSS         |        119 |          5 |         22 |        146 |
| c:\xampp\htdocs\cscs\build\scss\_pagination.scss                                                                                                                 | SCSS         |         66 |          3 |          6 |         75 |
| c:\xampp\htdocs\cscs\build\scss\_print.scss                                                                                                                      | SCSS         |         36 |          8 |          9 |         53 |
| c:\xampp\htdocs\cscs\build\scss\_products.scss                                                                                                                   | SCSS         |         50 |          3 |         16 |         69 |
| c:\xampp\htdocs\cscs\build\scss\_progress-bars.scss                                                                                                              | SCSS         |         52 |          8 |         13 |         73 |
| c:\xampp\htdocs\cscs\build\scss\_sidebar-mini.scss                                                                                                               | SCSS         |        433 |          5 |         67 |        505 |
| c:\xampp\htdocs\cscs\build\scss\_small-box.scss                                                                                                                  | SCSS         |        135 |          8 |         23 |        166 |
| c:\xampp\htdocs\cscs\build\scss\_social-widgets.scss                                                                                                             | SCSS         |         64 |         14 |         16 |         94 |
| c:\xampp\htdocs\cscs\build\scss\_table.scss                                                                                                                      | SCSS         |        129 |          9 |         18 |        156 |
| c:\xampp\htdocs\cscs\build\scss\_text.scss                                                                                                                       | SCSS         |         32 |          5 |          9 |         46 |
| c:\xampp\htdocs\cscs\build\scss\_timeline.scss                                                                                                                   | SCSS         |        135 |         12 |          9 |        156 |
| c:\xampp\htdocs\cscs\build\scss\_toasts.scss                                                                                                                     | SCSS         |         54 |          3 |         12 |         69 |
| c:\xampp\htdocs\cscs\build\scss\_users-list.scss                                                                                                                 | SCSS         |         43 |          3 |          9 |         55 |
| c:\xampp\htdocs\cscs\build\scss\_variables.scss                                                                                                                  | SCSS         |        154 |         45 |         33 |        232 |
| c:\xampp\htdocs\cscs\build\scss\adminlte.scss                                                                                                                    | SCSS         |         11 |         10 |          4 |         25 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_accent.scss                                                                                                              | SCSS         |         86 |          4 |         15 |        105 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_backgrounds.scss                                                                                                         | SCSS         |         51 |          5 |          9 |         65 |
